area,price
29.2,45.9
39.7,50.7
40.3,63.0
40.8,57.9
42.2,62.3
42.2,111.9
42.8,52.8
44.3,52.5
44.9,51.9
45.0,66.1
46.4,70.2
47.2,67.4
47.4,64.6
47.7,66.2
47.7,72.5
48.7,67.1
48.9,70.0
49.0,64.3
49.1,57.6
49.2,72.7
49.3,55.8
49.4,59.7
49.5,55.7
49.8,73.5
50.6,70.6
50.7,66.7
51.6,51.0
51.9,76.4
52.0,71.1
52.1,77.4
52.3,62.6
53.6,81.6
54.6,78.8
54.8,74.5
55.0,62.7
55.4,56.0
55.4,82.9
55.6,80.9
55.8,87.0
56.2,69.3
56.4,69.9
56.5,95.7
56.8,82.7
57.1,65.0
57.5,83.3
57.9,84.9
57.9,64.1
58.1,86.5
58.5,74.3
58.6,79.7
58.8,142.7
58.9,79.4
59.1,80.9
59.2,71.3
59.3,68.2
59.5,86.8
59.5,67.6
59.8,85.0
59.8,83.2
60.0,76.5
60.2,79.0
60.3,69.1
60.5,82.8
60.6,82.4
61.2,85.8
61.3,80.3
61.3,74.5
61.4,84.0
61.5,75.1
61.6,88.9
62.0,78.3
62.0,101.8
62.5,77.6
62.5,76.0
62.5,94.1
62.6,87.8
62.7,80.7
63.1,80.9
63.5,62.1
63.8,82.7
64.0,82.7
64.2,97.3
64.3,102.7
64.4,98.7
64.7,77.4
65.0,96.5
65.0,87.1
65.0,97.0
65.4,81.4
65.5,84.5
65.8,93.5
66.0,100.3
66.1,78.1
66.2,83.0
66.2,84.0
66.2,91.7
66.2,92.5
66.4,94.0
66.6,89.9
67.2,96.1
68.0,83.7
68.0,83.5
69.2,77.6
69.3,87.5
69.6,95.7
69.8,86.6
69.8,72.8
70.0,88.1
70.1,106.1
70.5,90.6
71.0,98.3
71.2,102.8
71.3,95.6
71.3,92.8
71.5,88.9
71.5,100.6
71.6,97.1
71.6,84.8
71.7,111.6
72.0,79.8
72.2,105.6
72.3,102.8
72.4,93.8
72.9,91.3
72.9,96.3
73.1,94.6
73.2,92.9
73.4,99.5
73.6,103.0
73.7,105.7
74.0,93.2
74.0,90.9
74.0,101.3
74.0,95.8
74.1,101.5
74.2,95.1
74.6,93.5
74.9,101.9
74.9,99.4
75.0,92.7
75.2,97.7
75.4,110.1
75.8,96.1
76.0,91.3
76.2,90.3
76.2,104.2
76.3,96.8
76.4,94.7
76.8,109.2
77.0,90.0
77.0,103.9
77.2,112.7
77.3,79.0
77.5,96.7
77.8,98.1
77.8,98.6
77.8,102.8
78.1,107.5
78.1,98.0
78.3,102.2
78.3,98.7
78.5,95.9
78.8,112.2
79.0,82.0
79.3,105.8
79.5,108.1
79.5,97.2
79.6,100.4
80.4,102.3
80.8,103.6
81.2,118.6
81.2,98.0
81.5,132.3
81.9,100.7
81.9,146.7
82.2,114.4
82.4,94.5
82.4,189.5
82.6,109.1
82.7,113.7
83.0,110.4
83.1,105.4
83.1,117.5
83.6,98.1
83.9,116.8
84.0,98.5
84.0,109.0
84.2,118.4
84.3,111.4
84.4,102.9
84.5,118.5
84.7,125.0
84.7,117.2
84.7,92.5
84.9,103.3
85.2,112.7
85.2,101.6
85.6,108.1
85.7,116.6
85.8,117.2
86.8,110.6
86.8,103.4
87.1,130.3
87.1,125.9
87.9,110.9
88.4,113.2
88.7,116.3
88.7,119.7
88.9,113.8
89.2,136.1
89.3,106.7
89.4,111.7
89.6,117.1
89.8,104.3
89.8,135.9
89.8,114.2
89.8,113.1
90.0,118.9
90.6,122.1
90.7,107.2
91.2,99.3
91.5,97.9
91.9,123.5
92.5,100.6
92.8,121.2
92.9,139.2
93.5,129.9
93.6,128.8
94.4,121.3
95.4,149.5
95.5,133.9
96.1,106.1
96.5,118.6
97.0,116.6
97.2,123.0
97.4,107.3
97.5,122.8
97.7,106.3
98.3,112.5
98.3,127.2
98.3,217.3
98.6,135.0
98.7,145.7
99.4,136.2
99.6,255.7
99.9,156.1
100.4,142.0
100.9,118.7
101.4,144.1
101.4,106.6
101.7,133.5
101.9,132.2
102.5,116.2
102.6,140.3
102.8,131.9
103.0,143.4
103.2,131.5
104.9,122.1
105.0,120.6
105.6,117.5
105.7,147.5
105.8,148.1
106.6,126.5
106.7,126.8
108.5,139.2
108.9,113.3
109.6,256.6
111.5,121.7
112.5,145.4
112.8,187.0
113.8,134.7
115.4,146.4
115.5,139.3
115.8,152.0
115.9,125.4
117.0,153.4
118.4,149.2
118.8,133.8
119.2,141.5
122.1,171.0
122.2,149.5
122.7,162.2
123.2,159.4
123.4,146.7
124.9,159.4
125.1,140.9
127.1,161.1
129.6,149.0
132.4,168.2
133.7,136.6
134.1,176.8
137.5,171.9
141.2,185.1
142.5,197.0
143.7,162.5
144.9,184.8
146.4,192.2
151.6,162.0
157.9,205.4
226.8,280.0
